,Meta,c,a_apc,Cyc_Period,Cyc_Amplitude
18336,0.0,0.8201005025125627,18.043428516814032,3.6583879629488365,0.7766285064354846
18337,0.0,0.8261306532663316,18.043428516814032,3.6591939278340977,0.7766084853967714
18338,0.0,0.8321608040201005,18.043428516814032,3.6605451018341855,0.776587977293193
18339,0.0,0.8381909547738693,18.043428516814032,3.662429757954233,0.7765671168719054
18340,0.0,0.8442211055276382,18.043428516814032,3.664840095494765,0.7765458542211645
18341,0.0,0.850251256281407,18.043428516814032,3.6677974584097157,0.7765240884708319
18342,0.0,0.8562814070351759,18.043428516814032,3.6713157279608275,0.776502158618762
18343,0.0,0.8623115577889446,18.043428516814032,3.6754089463623996,0.7764794595418765
18344,0.0,0.8683417085427135,18.043428516814032,3.6800826351483784,0.7764566112540633
18345,0.0,0.8743718592964824,18.043428516814032,3.6853529664745643,0.776433435575041
18346,0.0,0.8804020100502512,18.043428516814032,3.691242780833944,0.7764094573271778
18347,0.0,0.8864321608040201,18.043428516814032,3.697763797640542,0.7763853051227361
18348,0.0,0.8924623115577889,18.043428516814032,3.7049425207384665,0.7763605803142215
18349,0.0,0.8984924623115578,18.043428516814032,3.712778324695469,0.7763353046741629
18350,0.0,0.9045226130653266,18.043428516814032,3.72130457250831,0.7763093842259563
18351,0.0,0.9105527638190954,18.043428516814032,3.730558176817209,0.7762831573893495
18352,0.0,0.9165829145728643,18.043428516814032,3.740553125756634,0.776256429757645
18353,0.0,0.9226130653266331,18.043428516814032,3.751302925261717,0.7762294353438504
18354,0.0,0.928643216080402,18.043428516814032,3.7628655467696,0.7762016087285422
18355,0.0,0.9346733668341708,18.043428516814032,3.775254672229728,0.7761740492685538
18356,0.0,0.9407035175879397,18.043428516814032,3.7885240149601493,0.7761459876884843
18357,0.0,0.9467336683417085,18.043428516814032,3.802712450973432,0.7761176914110514
18358,0.0,0.9527638190954774,18.043428516814032,3.8178588334431485,0.7760892860193277
18359,0.0,0.9587939698492461,18.043428516814032,3.833994557258457,0.776060742354517
18360,0.0,0.964824120603015,18.043428516814032,3.8511449423403192,0.7760325453040059
18361,0.0,0.9708542713567839,18.043428516814032,3.869541403992905,0.7760039585411002
18362,0.0,0.9768844221105527,18.043428516814032,3.8890335523588773,0.7759760889382702
18363,0.0,0.9829145728643216,18.043428516814032,3.909856675957257,0.7759479972742473
18364,0.0,0.9889447236180904,18.043428516814032,3.9319492725450855,0.7759208369501647
18365,0.0,0.9949748743718593,18.043428516814032,3.955529367334467,0.7758936981410323
18366,0.0,1.0010050251256282,18.043428516814032,3.9806512560381675,0.7758668061548502
18367,0.0,1.007035175879397,18.043428516814032,4.007431595036234,0.7758406778583242
18368,0.0,1.0130653266331657,18.043428516814032,4.035978180529233,0.7758141469935766
18369,0.0,1.0190954773869347,18.043428516814032,4.066471819374749,0.7757880059722
18370,0.0,1.0251256281407035,18.043428516814032,4.099163053644176,0.7757618311385545
18371,0.0,1.0311557788944723,18.043428516814032,4.1340820192684795,0.7757365447282598
18372,0.0,1.037185929648241,18.043428516814032,4.171633422169503,0.7757103469438196
18373,0.0,1.04321608040201,18.043428516814032,4.211935508509187,0.7756843618089714
18374,0.0,1.0492462311557789,18.043428516814032,4.255435080866608,0.7756577852093663
18375,0.0,1.0552763819095476,18.043428516814032,4.3024616596582135,0.7756311525576464
18376,0.0,1.0613065326633166,18.043428516814032,4.353482152907958,0.7756035442933183
18377,0.0,1.0673366834170854,18.043428516814032,4.409068245273524,0.77557523084637
18378,0.0,1.0733668341708542,18.043428516814032,4.469898454425003,0.7755448347474536
18379,0.0,1.079396984924623,18.043428516814032,4.5368779980966,0.7755136729793554
18380,0.0,1.085427135678392,18.043428516814032,4.61113291007922,0.7754802629043636
18381,0.0,1.0914572864321608,18.043428516814032,4.694057505912108,0.7754444883352669
18382,0.0,1.0974874371859296,18.043428516814032,4.787714564549031,0.7754054558349286
18383,0.0,1.1035175879396983,18.043428516814032,4.894782423579354,0.7753628050621867
18384,0.0,1.1095477386934673,18.043428516814032,5.019268775052453,0.7753147767808203
18385,0.0,1.1155778894472361,18.043428516814032,5.167268350905863,0.775259799551262
18386,0.0,1.121608040201005,18.043428516814032,5.348753806079657,0.7751961582582163
18387,0.0,1.127638190954774,18.043428516814032,5.58226675029403,0.7751199416077457
18388,0.0,1.1336683417085427,18.043428516814032,5.907629697814663,0.7750241122031459
18389,0.0,1.1396984924623115,18.043428516814032,6.445218416888757,0.7748942400969783
18390,0.0,1.1457286432160803,18.043428516814032,8.866668978060435,0.7746572396349363
18391,0.0,1.1517587939698493,18.043428516814032,0.0,0.0
18392,0.0,1.157788944723618,18.043428516814032,0.0,0.0
18393,0.0,1.1638190954773868,18.043428516814032,0.0,0.0
18394,0.0,1.1698492462311558,18.043428516814032,0.0,0.0
18395,0.0,1.1758793969849246,18.043428516814032,0.0,0.0
18396,0.0,1.1819095477386934,18.043428516814032,0.0,0.0
18397,0.0,1.1879396984924622,18.043428516814032,0.0,0.0
18398,0.0,1.1939698492462312,18.043428516814032,0.0,0.0
18399,0.0,1.2,18.043428516814032,0.0,0.0
18400,0.0,0.0,18.385951163565593,0.0,0.0
18401,0.0,0.006030150753768844,18.385951163565593,0.0,0.0
18402,0.0,0.012060301507537688,18.385951163565593,130.21077894068904,0.777681554510385
18403,0.0,0.018090452261306532,18.385951163565593,87.07433627658145,0.7778149952923215
18404,0.0,0.024120603015075376,18.385951163565593,65.52743888143331,0.7779120694193262
18405,0.0,0.03015075376884422,18.385951163565593,52.60564964944572,0.7779875464860064
18406,0.0,0.036180904522613064,18.385951163565593,43.99386575144332,0.7780483284680326
18407,0.0,0.04221105527638191,18.385951163565593,37.84421478887393,0.7780984232921637
18408,0.0,0.04824120603015075,18.385951163565593,33.2329833628481,0.7781402684526559
18409,0.0,0.054271356783919596,18.385951163565593,29.647283148208228,0.7781755059859339
18410,0.0,0.06030150753768844,18.385951163565593,26.779331114853264,0.7782052411881557
18411,0.0,0.06633165829145729,18.385951163565593,24.433467733063978,0.7782304388711432
18412,0.0,0.07236180904522613,18.385951163565593,22.47910880750642,0.7782518483173566
18413,0.0,0.07839195979899496,18.385951163565593,20.82577584313819,0.7782701255368295
18414,0.0,0.08442211055276382,18.385951163565593,19.409240962647004,0.7782851587750097
18415,0.0,0.09045226130653267,18.385951163565593,18.181890705566985,0.778298105253392
18416,0.0,0.0964824120603015,18.385951163565593,17.108355071834918,0.7783081651271735
18417,0.0,0.10251256281407034,18.385951163565593,16.161545939333138,0.7783172598672251
18418,0.0,0.10854271356783919,18.385951163565593,15.320278148356687,0.7783238097858711
18419,0.0,0.11457286432160804,18.385951163565593,14.56790567098099,0.7783291741010242
18420,0.0,0.12060301507537688,18.385951163565593,13.891140158453393,0.7783327244636573
18421,0.0,0.12663316582914572,18.385951163565593,13.279114042344876,0.7783351716646028
18422,0.0,0.13266331658291458,18.385951163565593,12.723123198027235,0.7783362459891532
18423,0.0,0.13869346733668342,18.385951163565593,12.21574027194043,0.7783365200783339
18424,0.0,0.14472361809045226,18.385951163565593,11.750984922699132,0.7783358899727768
18425,0.0,0.1507537688442211,18.385951163565593,11.323684551952013,0.778334276289971
18426,0.0,0.15678391959798993,18.385951163565593,10.929507009944736,0.7783313620886287
18427,0.0,0.1628140703517588,18.385951163565593,10.564820417342855,0.7783282726687791
18428,0.0,0.16884422110552763,18.385951163565593,10.226489528032971,0.7783246770161562
18429,0.0,0.17487437185929647,18.385951163565593,9.911752835441797,0.7783201249176128
18430,0.0,0.18090452261306533,18.385951163565593,9.618260496046684,0.7783149265554117
18431,0.0,0.18693467336683417,18.385951163565593,9.34397550741957,0.7783090486558969
18432,0.0,0.192964824120603,18.385951163565593,9.087116983042376,0.7783032157798043
18433,0.0,0.19899497487437184,18.385951163565593,8.846030196368362,0.7782957982757921
18434,0.0,0.20502512562814068,18.385951163565593,8.619396922609004,0.7782892236314738
18435,0.0,0.21105527638190955,18.385951163565593,8.405963207320937,0.7782817856891253
18436,0.0,0.21708542713567838,18.385951163565593,8.204635829999223,0.7782737935507813
18437,0.0,0.22311557788944722,18.385951163565593,8.014466927586255,0.7782654064513411
18438,0.0,0.22914572864321608,18.385951163565593,7.834474614650305,0.7782565375435814
18439,0.0,0.23517587939698492,18.385951163565593,7.663960047710464,0.7782483023395058
18440,0.0,0.24120603015075376,18.385951163565593,7.502222318634826,0.7782388609140687
18441,0.0,0.2472361809045226,18.385951163565593,7.3486709728633315,0.7782295650093379
18442,0.0,0.25326633165829143,18.385951163565593,7.202502542961206,0.7782198614830718
18443,0.0,0.25929648241206027,18.385951163565593,7.063514633631202,0.7782094222641479
18444,0.0,0.26532663316582916,18.385951163565593,6.930971811428741,0.7781995956942774
18445,0.0,0.271356783919598,18.385951163565593,6.804632178587648,0.7781900496329307
18446,0.0,0.27738693467336684,18.385951163565593,6.683947918433786,0.7781787197392996
18447,0.0,0.2834170854271357,18.385951163565593,6.568638676617308,0.7781678852299032
18448,0.0,0.2894472361809045,18.385951163565593,6.458366619744094,0.778157684546756
18449,0.0,0.29547738693467335,18.385951163565593,6.352779144431489,0.7781469876008671
18450,0.0,0.3015075376884422,18.385951163565593,6.251677277875846,0.7781362150671616
18451,0.0,0.307537688442211,18.385951163565593,6.154696475304227,0.7781249231149697
18452,0.0,0.31356783919597986,18.385951163565593,6.061704750501125,0.7781137268842083
18453,0.0,0.31959798994974875,18.385951163565593,5.972409978563429,0.778102182011522
18454,0.0,0.3256281407035176,18.385951163565593,5.8866460959850055,0.7780903356604293
