,Meta,c,a_apc,Apc_Period,Apc_Amplitude
245,0.0,0.33919597989949746,0.08,0.0,0.0
246,0.0,0.34673366834170855,0.08,0.0,0.0
247,0.0,0.3542713567839196,0.08,0.0,0.0
248,0.0,0.36180904522613067,0.08,0.0,0.0
249,0.0,0.3693467336683417,0.08,0.0,0.0
250,0.0,0.37688442211055273,0.08,0.0,0.0
251,0.0,0.3844221105527638,0.08,0.0,0.0
252,0.0,0.39195979899497485,0.08,0.0,0.0
253,0.0,0.39949748743718594,0.08,0.0,0.0
254,0.0,0.40703517587939697,0.08,0.0,0.0
255,0.0,0.414572864321608,0.08,0.0,0.0
256,0.0,0.4221105527638191,0.08,0.0,0.0
257,0.0,0.4296482412060301,0.08,0.0,0.0
258,0.0,0.4371859296482412,0.08,0.0,0.0
259,0.0,0.44472361809045224,0.08,0.0,0.0
260,0.0,0.4522613065326633,0.08,0.0,0.0
261,0.0,0.45979899497487436,0.08,0.0,0.0
262,0.0,0.4673366834170854,0.08,0.0,0.0
263,0.0,0.4748743718592965,0.08,0.0,0.0
264,0.0,0.4824120603015075,0.08,0.0,0.0
265,0.0,0.48994974874371855,0.08,0.0,0.0
266,0.0,0.49748743718592964,0.08,0.0,0.0
267,0.0,0.5050251256281407,0.08,0.0,0.0
268,0.0,0.5125628140703518,0.08,0.0,0.0
269,0.0,0.5201005025125628,0.08,0.0,0.0
270,0.0,0.5276381909547738,0.08,0.0,0.0
271,0.0,0.5351758793969849,0.08,0.0,0.0
272,0.0,0.542713567839196,0.08,0.0,0.0
273,0.0,0.550251256281407,0.08,0.0,0.0
274,0.0,0.5577889447236181,0.08,0.0,0.0
275,0.0,0.5653266331658291,0.08,0.0,0.0
276,0.0,0.5728643216080401,0.08,0.0,0.0
277,0.0,0.5804020100502513,0.08,0.0,0.0
278,0.0,0.5879396984924623,0.08,0.0,0.0
279,0.0,0.5954773869346733,0.08,0.0,0.0
280,0.0,0.6030150753768844,0.08,0.0,0.0
281,0.0,0.6105527638190954,0.08,0.0,0.0
282,0.0,0.6180904522613065,0.08,0.0,0.0
283,0.0,0.6256281407035176,0.08,0.0,0.0
284,0.0,0.6331658291457286,0.08,0.0,0.0
285,0.0,0.6407035175879396,0.08,0.0,0.0
286,0.0,0.6482412060301507,0.08,0.0,0.0
287,0.0,0.6557788944723618,0.08,0.0,0.0
288,0.0,0.6633165829145728,0.08,0.0,0.0
289,0.0,0.6708542713567839,0.08,0.0,0.0
290,0.0,0.6783919597989949,0.08,0.0,0.0
291,0.0,0.685929648241206,0.08,0.0,0.0
292,0.0,0.6934673366834171,0.08,0.0,0.0
293,0.0,0.7010050251256281,0.08,0.0,0.0
294,0.0,0.7085427135678392,0.08,0.0,0.0
295,0.0,0.7160804020100502,0.08,0.0,0.0
296,0.0,0.7236180904522613,0.08,0.0,0.0
297,0.0,0.7311557788944724,0.08,0.0,0.0
298,0.0,0.7386934673366834,0.08,0.0,0.0
299,0.0,0.7462311557788944,0.08,0.0,0.0
300,0.0,0.7537688442211055,0.08,0.0,0.0
301,0.0,0.7613065326633166,0.08,0.0,0.0
302,0.0,0.7688442211055276,0.08,0.0,0.0
303,0.0,0.7763819095477387,0.08,0.0,0.0
304,0.0,0.7839195979899497,0.08,0.0,0.0
305,0.0,0.7914572864321607,0.08,0.0,0.0
306,0.0,0.7989949748743719,0.08,0.0,0.0
307,0.0,0.8065326633165829,0.08,0.0,0.0
308,0.0,0.8140703517587939,0.08,0.0,0.0
309,0.0,0.821608040201005,0.08,0.0,0.0
310,0.0,0.829145728643216,0.08,0.0,0.0
311,0.0,0.8366834170854272,0.08,0.0,0.0
312,0.0,0.8442211055276382,0.08,0.0,0.0
313,0.0,0.8517587939698492,0.08,0.0,0.0
314,0.0,0.8592964824120602,0.08,0.0,0.0
315,0.0,0.8668341708542713,0.08,0.0,0.0
316,0.0,0.8743718592964824,0.08,0.0,0.0
317,0.0,0.8819095477386935,0.08,0.0,0.0
318,0.0,0.8894472361809045,0.08,0.0,0.0
319,0.0,0.8969849246231155,0.08,0.0,0.0
320,0.0,0.9045226130653266,0.08,0.0,0.0
321,0.0,0.9120603015075377,0.08,0.0,0.0
322,0.0,0.9195979899497487,0.08,0.0,0.0
323,0.0,0.9271356783919598,0.08,0.0,0.0
324,0.0,0.9346733668341708,0.08,0.0,0.0
325,0.0,0.9422110552763818,0.08,0.0,0.0
326,0.0,0.949748743718593,0.08,0.0,0.0
