,Meta,c,a,N_ss,SS_pos,Apc_Period,Apc_Amplitude
181,0.0,0.012121212121212121,17.00558974703989,1.0,Bottom,0.0,0.0
182,0.0,0.012121212121212121,17.215535299472478,1.0,Bottom,0.0,0.0
183,0.0,0.012121212121212121,17.425480851905068,1.0,Bottom,0.0,0.0
184,0.0,0.012121212121212121,17.63542640433766,1.0,Bottom,0.0,0.0
185,0.0,0.012121212121212121,17.84537195677025,1.0,Bottom,0.0,0.0
186,0.0,0.012121212121212121,18.055317509202844,1.0,Bottom,0.0,0.0
187,0.0,0.012121212121212121,18.265263061635434,1.0,Bottom,0.0,0.0
188,0.0,0.012121212121212121,18.475208614068023,1.0,Bottom,0.0,0.0
189,0.0,0.012121212121212121,18.685154166500617,1.0,Bottom,0.0,0.0
190,0.0,0.012121212121212121,18.895099718933206,1.0,Bottom,0.0,0.0
191,0.0,0.012121212121212121,19.1050452713658,1.0,Bottom,0.0,0.0
192,0.0,0.012121212121212121,19.31499082379839,1.0,Bottom,0.0,0.0
193,0.0,0.012121212121212121,19.524936376230983,1.0,Bottom,0.0,0.0
194,0.0,0.012121212121212121,19.734881928663572,1.0,Bottom,0.0,0.0
195,0.0,0.012121212121212121,19.944827481096162,1.0,Bottom,0.0,0.0
196,0.0,0.012121212121212121,20.154773033528755,1.0,Bottom,0.0,0.0
197,0.0,0.012121212121212121,20.364718585961345,1.0,Bottom,0.0,0.0
198,0.0,0.012121212121212121,20.57466413839394,1.0,Bottom,0.0,0.0
199,0.0,0.012121212121212121,20.784609690826528,1.0,Bottom,0.0,0.0
200,0.0,0.024242424242424242,0.0,1.0,0.0,0.0,0.0
201,0.0,0.024242424242424242,0.2099455524325912,1.0,Bottom,0.0,0.0
202,0.0,0.024242424242424242,0.4198911048651824,1.0,Bottom,0.0,0.0
203,0.0,0.024242424242424242,0.6298366572977736,1.0,Bottom,0.0,0.0
204,0.0,0.024242424242424242,0.8397822097303648,1.0,Bottom,0.0,0.0
205,0.0,0.024242424242424242,1.049727762162956,1.0,Bottom,0.0,0.0
206,0.0,0.024242424242424242,1.2596733145955472,1.0,Bottom,0.0,0.0
207,0.0,0.024242424242424242,1.4696188670281383,1.0,Bottom,0.0,0.0
208,0.0,0.024242424242424242,1.6795644194607295,1.0,Bottom,0.0,0.0
209,0.0,0.024242424242424242,1.8895099718933208,1.0,Bottom,0.0,0.0
210,0.0,0.024242424242424242,2.099455524325912,1.0,Bottom,0.0,0.0
211,0.0,0.024242424242424242,2.309401076758503,1.0,Bottom,0.0,0.0
212,0.0,0.024242424242424242,2.5193466291910944,1.0,Bottom,0.0,0.0
213,0.0,0.024242424242424242,2.7292921816236855,1.0,Bottom,0.0,0.0
214,0.0,0.024242424242424242,2.9392377340562765,1.0,Bottom,0.0,0.0
215,0.0,0.024242424242424242,3.149183286488868,1.0,Bottom,0.0,0.0
216,0.0,0.024242424242424242,3.359128838921459,1.0,Bottom,0.0,0.0
217,0.0,0.024242424242424242,3.56907439135405,1.0,Bottom,0.0,0.0
218,0.0,0.024242424242424242,3.7790199437866416,1.0,Bottom,0.0,0.0
219,0.0,0.024242424242424242,3.9889654962192327,1.0,Bottom,0.0,0.0
220,0.0,0.024242424242424242,4.198911048651824,1.0,Bottom,0.0,0.0
221,0.0,0.024242424242424242,4.408856601084415,1.0,Bottom,0.0,0.0
222,0.0,0.024242424242424242,4.618802153517006,1.0,Bottom,0.0,0.0
223,0.0,0.024242424242424242,4.828747705949597,1.0,Bottom,0.0,0.0
224,0.0,0.024242424242424242,5.038693258382189,1.0,Bottom,0.0,0.0
225,0.0,0.024242424242424242,5.2486388108147795,1.0,Bottom,0.0,0.0
226,0.0,0.024242424242424242,5.458584363247371,1.0,Bottom,0.0,0.0
227,0.0,0.024242424242424242,5.6685299156799624,1.0,Bottom,0.0,0.0
228,0.0,0.024242424242424242,5.878475468112553,1.0,Bottom,0.0,0.0
229,0.0,0.024242424242424242,6.088421020545145,1.0,Bottom,0.0,0.0
230,0.0,0.024242424242424242,6.298366572977736,1.0,Bottom,0.0,0.0
231,0.0,0.024242424242424242,6.508312125410327,1.0,Bottom,0.0,0.0
232,0.0,0.024242424242424242,6.718257677842918,1.0,Bottom,0.0,0.0
233,0.0,0.024242424242424242,6.92820323027551,1.0,Bottom,0.0,0.0
234,0.0,0.024242424242424242,7.1381487827081,1.0,Bottom,0.0,0.0
235,0.0,0.024242424242424242,7.348094335140692,1.0,Bottom,0.0,0.0
236,0.0,0.024242424242424242,7.558039887573283,1.0,Bottom,0.0,0.0
237,0.0,0.024242424242424242,7.767985440005874,1.0,Bottom,0.0,0.0
238,0.0,0.024242424242424242,7.977930992438465,1.0,Bottom,0.0,0.0
239,0.0,0.024242424242424242,8.187876544871056,1.0,Bottom,0.0,0.0
240,0.0,0.024242424242424242,8.397822097303647,1.0,Bottom,0.0,0.0
241,0.0,0.024242424242424242,8.607767649736239,1.0,Bottom,0.0,0.0
242,0.0,0.024242424242424242,8.81771320216883,1.0,Bottom,0.0,0.0
243,0.0,0.024242424242424242,9.027658754601422,1.0,Bottom,0.0,0.0
244,0.0,0.024242424242424242,9.237604307034012,1.0,Bottom,0.0,0.0
245,0.0,0.024242424242424242,9.447549859466603,1.0,Bottom,0.0,0.0
246,0.0,0.024242424242424242,9.657495411899195,1.0,Bottom,0.0,0.0
247,0.0,0.024242424242424242,9.867440964331786,1.0,Bottom,0.0,0.0
248,0.0,0.024242424242424242,10.077386516764378,1.0,Bottom,0.0,0.0
249,0.0,0.024242424242424242,10.28733206919697,1.0,Bottom,0.0,0.0
250,0.0,0.024242424242424242,10.497277621629559,1.0,Bottom,0.0,0.0
251,0.0,0.024242424242424242,10.70722317406215,1.0,Bottom,0.0,0.0
252,0.0,0.024242424242424242,10.917168726494742,1.0,Bottom,0.0,0.0
253,0.0,0.024242424242424242,11.127114278927333,1.0,Bottom,0.0,0.0
254,0.0,0.024242424242424242,11.337059831359925,1.0,Bottom,0.0,0.0
255,0.0,0.024242424242424242,11.547005383792516,1.0,Bottom,0.0,0.0
256,0.0,0.024242424242424242,11.756950936225106,1.0,Bottom,0.0,0.0
257,0.0,0.024242424242424242,11.966896488657698,1.0,Bottom,0.0,0.0
258,0.0,0.024242424242424242,12.17684204109029,1.0,Bottom,0.0,0.0
259,0.0,0.024242424242424242,12.38678759352288,1.0,Bottom,0.0,0.0
260,0.0,0.024242424242424242,12.596733145955472,1.0,Bottom,0.0,0.0
261,0.0,0.024242424242424242,12.806678698388064,1.0,Bottom,0.0,0.0
262,0.0,0.024242424242424242,13.016624250820653,1.0,Bottom,0.0,0.0
263,0.0,0.024242424242424242,13.226569803253245,1.0,Bottom,0.0,0.0
264,0.0,0.024242424242424242,13.436515355685836,1.0,Bottom,0.0,0.0
265,0.0,0.024242424242424242,13.646460908118428,1.0,Bottom,0.0,0.0
266,0.0,0.024242424242424242,13.85640646055102,1.0,Bottom,0.0,0.0
267,0.0,0.024242424242424242,14.066352012983609,1.0,Bottom,0.0,0.0
268,0.0,0.024242424242424242,14.2762975654162,1.0,Bottom,0.0,0.0
269,0.0,0.024242424242424242,14.486243117848792,1.0,Bottom,0.0,0.0
270,0.0,0.024242424242424242,14.696188670281384,1.0,Bottom,0.0,0.0
271,0.0,0.024242424242424242,14.906134222713975,1.0,Bottom,0.0,0.0
272,0.0,0.024242424242424242,15.116079775146567,1.0,Bottom,0.0,0.0
273,0.0,0.024242424242424242,15.326025327579156,1.0,Bottom,0.0,0.0
274,0.0,0.024242424242424242,15.535970880011748,1.0,Bottom,0.0,0.0
275,0.0,0.024242424242424242,15.74591643244434,1.0,Bottom,0.0,0.0
276,0.0,0.024242424242424242,15.95586198487693,1.0,Bottom,0.0,0.0
277,0.0,0.024242424242424242,16.165807537309522,1.0,Bottom,0.0,0.0
278,0.0,0.024242424242424242,16.375753089742112,1.0,Bottom,0.0,0.0
279,0.0,0.024242424242424242,16.585698642174705,1.0,Bottom,0.0,0.0
280,0.0,0.024242424242424242,16.795644194607295,1.0,Bottom,0.0,0.0
281,0.0,0.024242424242424242,17.00558974703989,1.0,Bottom,0.0,0.0
282,0.0,0.024242424242424242,17.215535299472478,1.0,Bottom,0.0,0.0
283,0.0,0.024242424242424242,17.425480851905068,1.0,Bottom,0.0,0.0
284,0.0,0.024242424242424242,17.63542640433766,1.0,Bottom,0.0,0.0
285,0.0,0.024242424242424242,17.84537195677025,1.0,Bottom,0.0,0.0
286,0.0,0.024242424242424242,18.055317509202844,1.0,Bottom,0.0,0.0
287,0.0,0.024242424242424242,18.265263061635434,1.0,Bottom,0.0,0.0
288,0.0,0.024242424242424242,18.475208614068023,1.0,Bottom,0.0,0.0
289,0.0,0.024242424242424242,18.685154166500617,1.0,Bottom,0.0,0.0
290,0.0,0.024242424242424242,18.895099718933206,1.0,Bottom,0.0,0.0
291,0.0,0.024242424242424242,19.1050452713658,1.0,Bottom,0.0,0.0
292,0.0,0.024242424242424242,19.31499082379839,1.0,Bottom,0.0,0.0
293,0.0,0.024242424242424242,19.524936376230983,1.0,Bottom,0.0,0.0
294,0.0,0.024242424242424242,19.734881928663572,1.0,Bottom,0.0,0.0
295,0.0,0.024242424242424242,19.944827481096162,1.0,Bottom,0.0,0.0
296,0.0,0.024242424242424242,20.154773033528755,1.0,Bottom,0.0,0.0
297,0.0,0.024242424242424242,20.364718585961345,1.0,Bottom,0.0,0.0
298,0.0,0.024242424242424242,20.57466413839394,1.0,Bottom,0.0,0.0
299,0.0,0.024242424242424242,20.784609690826528,1.0,Bottom,0.0,0.0
300,0.0,0.03636363636363636,0.0,1.0,0.0,0.0,0.0
301,0.0,0.03636363636363636,0.2099455524325912,1.0,Bottom,0.0,0.0
302,0.0,0.03636363636363636,0.4198911048651824,1.0,Bottom,0.0,0.0
303,0.0,0.03636363636363636,0.6298366572977736,1.0,Bottom,0.0,0.0
304,0.0,0.03636363636363636,0.8397822097303648,1.0,Bottom,0.0,0.0
305,0.0,0.03636363636363636,1.049727762162956,1.0,Bottom,0.0,0.0
306,0.0,0.03636363636363636,1.2596733145955472,1.0,Bottom,0.0,0.0
307,0.0,0.03636363636363636,1.4696188670281383,1.0,Bottom,0.0,0.0
308,0.0,0.03636363636363636,1.6795644194607295,1.0,Bottom,0.0,0.0
309,0.0,0.03636363636363636,1.8895099718933208,1.0,Bottom,0.0,0.0
310,0.0,0.03636363636363636,2.099455524325912,1.0,Bottom,0.0,0.0
311,0.0,0.03636363636363636,2.309401076758503,1.0,Bottom,0.0,0.0
312,0.0,0.03636363636363636,2.5193466291910944,1.0,Bottom,0.0,0.0
313,0.0,0.03636363636363636,2.7292921816236855,1.0,Bottom,0.0,0.0
314,0.0,0.03636363636363636,2.9392377340562765,1.0,Bottom,0.0,0.0
315,0.0,0.03636363636363636,3.149183286488868,1.0,Bottom,0.0,0.0
316,0.0,0.03636363636363636,3.359128838921459,1.0,Bottom,0.0,0.0
317,0.0,0.03636363636363636,3.56907439135405,1.0,Bottom,0.0,0.0
318,0.0,0.03636363636363636,3.7790199437866416,1.0,Bottom,0.0,0.0
319,0.0,0.03636363636363636,3.9889654962192327,1.0,Bottom,0.0,0.0
320,0.0,0.03636363636363636,4.198911048651824,1.0,Bottom,0.0,0.0
321,0.0,0.03636363636363636,4.408856601084415,1.0,Bottom,0.0,0.0
322,0.0,0.03636363636363636,4.618802153517006,1.0,Bottom,0.0,0.0
323,0.0,0.03636363636363636,4.828747705949597,1.0,Bottom,0.0,0.0
324,0.0,0.03636363636363636,5.038693258382189,1.0,Bottom,0.0,0.0
325,0.0,0.03636363636363636,5.2486388108147795,1.0,Bottom,0.0,0.0
326,0.0,0.03636363636363636,5.458584363247371,1.0,Bottom,0.0,0.0
327,0.0,0.03636363636363636,5.6685299156799624,1.0,Bottom,0.0,0.0
328,0.0,0.03636363636363636,5.878475468112553,1.0,Bottom,0.0,0.0
329,0.0,0.03636363636363636,6.088421020545145,1.0,Bottom,0.0,0.0
330,0.0,0.03636363636363636,6.298366572977736,1.0,Bottom,0.0,0.0
331,0.0,0.03636363636363636,6.508312125410327,1.0,Bottom,0.0,0.0
332,0.0,0.03636363636363636,6.718257677842918,1.0,Bottom,0.0,0.0
333,0.0,0.03636363636363636,6.92820323027551,1.0,Bottom,0.0,0.0
334,0.0,0.03636363636363636,7.1381487827081,1.0,Bottom,0.0,0.0
335,0.0,0.03636363636363636,7.348094335140692,1.0,Bottom,0.0,0.0
336,0.0,0.03636363636363636,7.558039887573283,1.0,Bottom,0.0,0.0
337,0.0,0.03636363636363636,7.767985440005874,1.0,Bottom,0.0,0.0
338,0.0,0.03636363636363636,7.977930992438465,1.0,Bottom,0.0,0.0
339,0.0,0.03636363636363636,8.187876544871056,1.0,Bottom,0.0,0.0
340,0.0,0.03636363636363636,8.397822097303647,1.0,Bottom,0.0,0.0
341,0.0,0.03636363636363636,8.607767649736239,1.0,Bottom,0.0,0.0
342,0.0,0.03636363636363636,8.81771320216883,1.0,Bottom,0.0,0.0
343,0.0,0.03636363636363636,9.027658754601422,1.0,Bottom,0.0,0.0
344,0.0,0.03636363636363636,9.237604307034012,1.0,Bottom,0.0,0.0
345,0.0,0.03636363636363636,9.447549859466603,1.0,Bottom,0.0,0.0
346,0.0,0.03636363636363636,9.657495411899195,1.0,Bottom,0.0,0.0
347,0.0,0.03636363636363636,9.867440964331786,1.0,Bottom,0.0,0.0
348,0.0,0.03636363636363636,10.077386516764378,1.0,Bottom,0.0,0.0
349,0.0,0.03636363636363636,10.28733206919697,1.0,Bottom,0.0,0.0
350,0.0,0.03636363636363636,10.497277621629559,1.0,Bottom,0.0,0.0
351,0.0,0.03636363636363636,10.70722317406215,1.0,Bottom,0.0,0.0
352,0.0,0.03636363636363636,10.917168726494742,1.0,Bottom,0.0,0.0
353,0.0,0.03636363636363636,11.127114278927333,1.0,Bottom,0.0,0.0
354,0.0,0.03636363636363636,11.337059831359925,1.0,Bottom,0.0,0.0
355,0.0,0.03636363636363636,11.547005383792516,1.0,Bottom,0.0,0.0
356,0.0,0.03636363636363636,11.756950936225106,1.0,Bottom,0.0,0.0
357,0.0,0.03636363636363636,11.966896488657698,1.0,Bottom,0.0,0.0
358,0.0,0.03636363636363636,12.17684204109029,1.0,Bottom,0.0,0.0
359,0.0,0.03636363636363636,12.38678759352288,1.0,Bottom,0.0,0.0
