,Meta,c,a,N_ss,SS_pos,Cdk1_Period,Cdk1_Amplitude
118,0.0,0.0,8.357438667035103,0.0,0.0,0.0,0.0
119,0.0,0.0,8.428264418450656,0.0,0.0,0.0,0.0
120,0.0,0.0,8.499090169866207,0.0,0.0,0.0,0.0
121,0.0,0.0,8.569915921281758,0.0,0.0,0.0,0.0
122,0.0,0.0,8.64074167269731,0.0,0.0,0.0,0.0
123,0.0,0.0,8.711567424112863,0.0,0.0,0.0,0.0
124,0.0,0.0,8.782393175528414,0.0,0.0,0.0,0.0
125,0.0,0.0,8.853218926943965,0.0,0.0,0.0,0.0
126,0.0,0.0,8.924044678359516,0.0,0.0,0.0,0.0
127,0.0,0.0,8.99487042977507,0.0,0.0,0.0,0.0
128,0.0,0.0,9.06569618119062,0.0,0.0,0.0,0.0
129,0.0,0.0,9.136521932606172,0.0,0.0,0.0,0.0
130,0.0,0.0,9.207347684021725,0.0,0.0,0.0,0.0
131,0.0,0.0,9.278173435437276,0.0,0.0,0.0,0.0
132,0.0,0.0,9.348999186852827,0.0,0.0,0.0,0.0
133,0.0,0.0,9.419824938268379,0.0,0.0,0.0,0.0
134,0.0,0.0,9.490650689683932,0.0,0.0,0.0,0.0
135,0.0,0.0,9.561476441099483,0.0,0.0,0.0,0.0
136,0.0,0.0,9.632302192515034,0.0,0.0,0.0,0.0
137,0.0,0.0,9.703127943930586,0.0,0.0,0.0,0.0
138,0.0,0.0,9.773953695346139,0.0,0.0,0.0,0.0
139,0.0,0.0,9.84477944676169,0.0,0.0,0.0,0.0
140,0.0,0.0,9.915605198177241,0.0,0.0,0.0,0.0
141,0.0,0.0,9.986430949592792,0.0,0.0,0.0,0.0
142,0.0,0.0,10.057256701008345,0.0,0.0,0.0,0.0
143,0.0,0.0,10.128082452423897,0.0,0.0,0.0,0.0
144,0.0,0.0,10.198908203839448,0.0,0.0,0.0,0.0
145,0.0,0.0,10.269733955255,0.0,0.0,0.0,0.0
146,0.0,0.0,10.340559706670552,0.0,0.0,0.0,0.0
147,0.0,0.0,10.411385458086103,0.0,0.0,0.0,0.0
148,0.0,0.0,10.482211209501655,0.0,0.0,0.0,0.0
149,0.0,0.0,10.553036960917208,0.0,0.0,0.0,0.0
150,0.0,0.008053691275167784,0.0,1.0,0.0,0.0,0.0
151,0.0,0.008053691275167784,0.07082575141555172,1.0,0.0,0.0,0.0
152,0.0,0.008053691275167784,0.14165150283110345,1.0,0.0,0.0,0.0
153,0.0,0.008053691275167784,0.21247725424665517,1.0,0.0,0.0,0.0
154,0.0,0.008053691275167784,0.2833030056622069,1.0,0.0,0.0,0.0
155,0.0,0.008053691275167784,0.3541287570777586,1.0,0.0,0.0,0.0
156,0.0,0.008053691275167784,0.42495450849331035,1.0,0.0,0.0,0.0
157,0.0,0.008053691275167784,0.4957802599088621,1.0,0.0,0.0,0.0
158,0.0,0.008053691275167784,0.5666060113244138,1.0,0.0,0.0,0.0
159,0.0,0.008053691275167784,0.6374317627399655,1.0,0.0,0.0,0.0
160,0.0,0.008053691275167784,0.7082575141555172,1.0,0.0,0.0,0.0
161,0.0,0.008053691275167784,0.779083265571069,1.0,0.0,0.0,0.0
162,0.0,0.008053691275167784,0.8499090169866207,1.0,0.0,0.0,0.0
163,0.0,0.008053691275167784,0.9207347684021724,1.0,0.0,0.0,0.0
164,0.0,0.008053691275167784,0.9915605198177242,1.0,Bottom,0.0,0.0
165,0.0,0.008053691275167784,1.062386271233276,1.0,Bottom,0.0,0.0
166,0.0,0.008053691275167784,1.1332120226488276,1.0,Bottom,0.0,0.0
167,0.0,0.008053691275167784,1.2040377740643793,1.0,Bottom,0.0,0.0
