,Meta,dsyn,acdk,Period,G1,SG2,M,E2F Amplitude,APC Amplitude
670,0.0,0.10405405405405406,12.692307692307692,4035.9385199882345,1944.6518106263948,1786.583075598879,294.2377022434357,0.9990925560908331,0.9999999136476766
671,0.0,0.10405405405405406,12.948717948717949,4073.7021264350597,1956.2850062879188,1812.6083301164326,295.54425827159866,0.9991232659266024,0.9999999231725408
672,0.0,0.10405405405405406,13.205128205128204,4110.832926482899,1965.4882650937216,1838.2428386858537,297.2659089421177,0.9991521044619807,0.999999931498233
673,0.0,0.10405405405405406,13.46153846153846,2140.344171635774,1659.883105524481,288.4401233706676,17.413509117495323,0.9723750284819277,0.9675350123765016
674,0.0,0.10405405405405406,13.717948717948717,2149.5630982712864,1666.6940844868714,285.1945895102681,16.425333002338448,0.9723615576596758,0.9673792114484818
675,0.0,0.10405405405405406,13.974358974358974,2157.3030886377846,1675.3952265002517,289.7587603358061,17.676849386185495,0.9723440712854249,0.9672648119059587
676,0.0,0.10405405405405406,14.23076923076923,2164.193363808681,1681.8807567801368,291.54767020619147,17.80673231142282,0.9723265653896619,0.9671740033596924
677,0.0,0.10405405405405406,14.487179487179485,2169.6424733327603,1687.3183063243914,293.5509378875686,17.5761414747285,0.9723107557167742,0.9671002133243619
678,0.0,0.10405405405405406,14.743589743589743,2174.676287632391,1692.0110396120317,293.5324485597057,16.833130790595533,0.9722924952776452,0.9670377320910736
679,0.0,0.10405405405405406,15.0,2179.1146238527854,1695.7874329686365,293.5057546345215,18.99767179844639,0.9728662207221641,0.9669843057510391
680,0.0,0.10743243243243245,5.0,2058.6040511559604,1249.175586911504,691.2215954053754,118.20604358955825,0.9938905444426585,0.9999933698761325
681,0.0,0.10743243243243245,5.256410256410256,2150.7646610207157,1290.424865366629,733.8958608903476,126.43817077259064,0.9945814439167842,0.9999945302984562
682,0.0,0.10743243243243245,5.512820512820513,2239.466984737335,1328.7993651614815,775.9253987107986,134.74308958316942,0.9951074154387887,0.9999954564740933
