,Meta,dsyn,ddeg,Period,G1,SG2,M,E2F Amplitude,APC Amplitude
1029,0.0,0.07525252525252527,0.007929292929292928,3137.3436465336245,2251.432310246273,769.0046045274548,117.17706447072669,0.9851786569349917,0.9999933648487073
1030,0.0,0.07525252525252527,0.00803030303030303,3194.1113594694143,2308.4238345465665,773.1455445648608,116.93040327073686,0.9847317275604794,0.9999933678047956
1031,0.0,0.07525252525252527,0.008131313131313132,3256.808585460786,2367.2194309879706,777.2534945631996,116.68977869097944,0.9842671475461364,0.9999933666076902
1032,0.0,0.07525252525252527,0.008232323232323232,3324.403463256156,2427.9615369082685,781.3249333213407,116.45566741418588,0.983785000830324,0.9999933665871182
1033,0.0,0.07525252525252527,0.008333333333333333,3391.1226507312404,2490.8156723827606,785.35394510072,116.22673732250405,0.9832853185961691,0.9999933687645461
1034,0.0,0.07525252525252527,0.008434343434343433,3461.2865423525645,2555.9662879027255,789.3345093653188,116.00511648549218,0.9827680909938084,0.9999933670423721
1035,0.0,0.07525252525252527,0.008535353535353535,3532.7814825688,2623.6194972227204,793.2588074441228,115.78765680842298,0.9822332771555942,0.9999933648052791
1036,0.0,0.07525252525252527,0.008636363636363636,3604.5515397887857,2694.0153609299978,797.1190280255832,115.57507978785361,0.9816808128394751,0.9999933669984454
1037,0.0,0.07525252525252527,0.008737373737373736,3680.548528249751,2767.4245797141157,800.9030311896167,115.36711188846857,0.9811106173815043,0.9999933707178607
1038,0.0,0.07525252525252527,0.008838383838383838,3763.9632860937827,2844.1568132329485,804.5977540319145,115.163963937056,0.9808740229729689,0.9999933701599644
1039,0.0,0.07525252525252527,0.008939393939393938,3847.283762393702,2924.566640559631,808.1866514826324,114.96717800131864,0.9802559082491409,0.9999933638138125
1040,0.0,0.07525252525252527,0.00904040404040404,3934.903166543374,3009.0691523690584,811.6643062380945,114.7727895825874,0.9796190069550548,0.9999933651375383
1041,0.0,0.07525252525252527,0.009141414141414141,4021.6731454477517,3098.1513899742276,814.9826403223278,114.58294080218093,0.978963241616359,0.9999933643078811
1042,0.0,0.07525252525252527,0.009242424242424243,4121.255495897198,3192.3888040856764,818.1245349403362,114.39715777085166,0.9782885424969678,0.999993365963603
1043,0.0,0.07525252525252527,0.009343434343434343,4223.751554794643,3292.455357881683,821.0578484877196,114.21671634719951,0.9775948512079037,0.999993367241781
1044,0.0,0.07525252525252527,0.009444444444444443,4329.921760446268,3399.177815231229,823.7381131946531,114.03849258086302,0.9768821252831422,0.999993371466004
1045,0.0,0.07525252525252527,0.009545454545454544,4449.644317303879,3513.5540419668905,826.1044400797282,113.86535309865576,0.9761503437873387,0.9999933703517702
1046,0.0,0.07525252525252527,0.009646464646464646,4574.042496293577,3636.807978923638,828.0922311950908,113.6947580510523,0.9753995146786547,0.9999933672559019
1047,0.0,0.07525252525252527,0.009747474747474748,4710.758973527862,3770.5022378768817,828.7525098680944,113.52679790941875,0.9749907123748742,0.9999933668407391
1048,0.0,0.07525252525252527,0.009848484848484848,4854.949176519501,3916.555602975148,829.7805046500953,113.36369200145782,0.9741720182388319,0.9999933662821769
1049,0.0,0.07525252525252527,0.009949494949494948,5015.395642343959,4071.60191516542,830.6749150035539,113.20246349817535,0.9733338648637325,0.9999933678743039
1050,0.0,0.07525252525252527,0.01005050505050505,5199.111581056219,4251.738462045391,829.834180962438,113.04527948220857,0.9724766339296935,0.9999933657807248
1051,0.0,0.07525252525252527,0.010151515151515151,5394.49028393275,4454.855368056428,827.6757862673221,112.89112536919856,0.9716008799005168,0.0
1052,0.0,0.07525252525252527,0.010252525252525253,5621.270244862903,4687.6371211330115,823.7157028719994,112.7404698698374,0.970707417558934,0.0
1053,0.0,0.07525252525252527,0.010353535353535353,5885.601280549469,4960.088509151521,817.2139608948019,112.5922351337831,0.9697974719085568,0.0
1054,0.0,0.07525252525252527,0.010454545454545454,6206.31395808242,5288.159285684228,806.9419365018002,112.44648947570022,0.968872951480864,0.0
1055,0.0,0.07525252525252527,0.010555555555555554,6604.2718620366995,5697.892691884498,1059.9770533463134,112.3612214547511,0.0,0.0
1056,0.0,0.07525252525252527,0.010656565656565656,7127.788380124813,6248.358593914878,1014.119716625918,112.20455589014455,0.0,0.0
1057,0.0,0.07525252525252527,0.010757575757575757,0.0,0.0,0.0,0.0,0.0,0.0
1058,0.0,0.07525252525252527,0.010858585858585859,0.0,0.0,0.0,0.0,0.0,0.0
1059,0.0,0.07525252525252527,0.010959595959595959,0.0,0.0,0.0,0.0,0.0,0.0
1060,0.0,0.07525252525252527,0.011060606060606059,0.0,0.0,0.0,0.0,0.0,0.0
1061,0.0,0.07525252525252527,0.01116161616161616,0.0,0.0,0.0,0.0,0.0,0.0
1062,0.0,0.07525252525252527,0.011262626262626262,0.0,0.0,0.0,0.0,0.0,0.0
1063,0.0,0.07525252525252527,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0
1064,0.0,0.07525252525252527,0.011464646464646464,0.0,0.0,0.0,0.0,0.0,0.0
1065,0.0,0.07525252525252527,0.011565656565656564,0.0,0.0,0.0,0.0,0.0,0.0
1066,0.0,0.07525252525252527,0.011666666666666665,0.0,0.0,0.0,0.0,0.0,0.0
1067,0.0,0.07525252525252527,0.011767676767676767,0.0,0.0,0.0,0.0,0.0,0.0
1068,0.0,0.07525252525252527,0.011868686868686869,0.0,0.0,0.0,0.0,0.0,0.0
1069,0.0,0.07525252525252527,0.011969696969696969,0.0,0.0,0.0,0.0,0.0,0.0
1070,0.0,0.07525252525252527,0.012070707070707069,0.0,0.0,0.0,0.0,0.0,0.0
1071,0.0,0.07525252525252527,0.01217171717171717,0.0,0.0,0.0,0.0,0.0,0.0
1072,0.0,0.07525252525252527,0.012272727272727272,0.0,0.0,0.0,0.0,0.0,0.0
1073,0.0,0.07525252525252527,0.012373737373737374,0.0,0.0,0.0,0.0,0.0,0.0
1074,0.0,0.07525252525252527,0.012474747474747474,0.0,0.0,0.0,0.0,0.0,0.0
1075,0.0,0.07525252525252527,0.012575757575757575,0.0,0.0,0.0,0.0,0.0,0.0
1076,0.0,0.07525252525252527,0.012676767676767675,0.0,0.0,0.0,0.0,0.0,0.0
1077,0.0,0.07525252525252527,0.012777777777777777,0.0,0.0,0.0,0.0,0.0,0.0
1078,0.0,0.07525252525252527,0.012878787878787878,0.0,0.0,0.0,0.0,0.0,0.0
1079,0.0,0.07525252525252527,0.01297979797979798,0.0,0.0,0.0,0.0,0.0,0.0
1080,0.0,0.07525252525252527,0.013080808080808078,0.0,0.0,0.0,0.0,0.0,0.0
1081,0.0,0.07525252525252527,0.01318181818181818,0.0,0.0,0.0,0.0,0.0,0.0
