,Meta,bsyn,bdeg,Period,G1,SG2,M,E2F Amplitude,APC Amplitude,RP
138,0.0,0.000505050505050505,0.0019191919191919192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,0.0,0.000505050505050505,0.00196969696969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,0.0,0.000505050505050505,0.00202020202020202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,0.0,0.000505050505050505,0.0020707070707070706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,0.0,0.000505050505050505,0.002121212121212121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,0.0,0.000505050505050505,0.002171717171717172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,0.0,0.000505050505050505,0.0022222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,0.0,0.000505050505050505,0.0022727272727272726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,0.0,0.000505050505050505,0.0023232323232323234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,0.0,0.000505050505050505,0.002373737373737374,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,0.0,0.000505050505050505,0.0024242424242424242,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,0.0,0.000505050505050505,0.0024747474747474746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,0.0,0.000505050505050505,0.002525252525252525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,0.0,0.000505050505050505,0.002575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,0.0,0.000505050505050505,0.0026262626262626263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,0.0,0.000505050505050505,0.0026767676767676767,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,0.0,0.000505050505050505,0.0027272727272727275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,0.0,0.000505050505050505,0.002777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,0.0,0.000505050505050505,0.0028282828282828283,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,0.0,0.000505050505050505,0.0028787878787878787,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,0.0,0.000505050505050505,0.002929292929292929,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,0.0,0.000505050505050505,0.00297979797979798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,0.0,0.000505050505050505,0.0030303030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,0.0,0.000505050505050505,0.0030808080808080807,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,0.0,0.000505050505050505,0.0031313131313131315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,0.0,0.000505050505050505,0.003181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,0.0,0.000505050505050505,0.0032323232323232323,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,0.0,0.000505050505050505,0.0032828282828282827,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,0.0,0.000505050505050505,0.003333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,0.0,0.000505050505050505,0.003383838383838384,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,0.0,0.000505050505050505,0.0034343434343434343,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,0.0,0.000505050505050505,0.0034848484848484847,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,0.0,0.000505050505050505,0.0035353535353535356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,0.0,0.000505050505050505,0.003585858585858586,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,0.0,0.000505050505050505,0.0036363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,0.0,0.000505050505050505,0.0036868686868686868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,0.0,0.000505050505050505,0.003737373737373737,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,0.0,0.000505050505050505,0.003787878787878788,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,0.0,0.000505050505050505,0.0038383838383838384,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,0.0,0.000505050505050505,0.0038888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,0.0,0.000505050505050505,0.00393939393939394,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,0.0,0.000505050505050505,0.00398989898989899,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,0.0,0.000505050505050505,0.00404040404040404,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,0.0,0.000505050505050505,0.004090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,0.0,0.000505050505050505,0.004141414141414141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,0.0,0.000505050505050505,0.004191919191919192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,0.0,0.000505050505050505,0.004242424242424242,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,0.0,0.000505050505050505,0.004292929292929293,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,0.0,0.000505050505050505,0.004343434343434344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,0.0,0.000505050505050505,0.004393939393939394,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,0.0,0.000505050505050505,0.0044444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,0.0,0.000505050505050505,0.004494949494949495,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,0.0,0.000505050505050505,0.004545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,0.0,0.000505050505050505,0.004595959595959596,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,0.0,0.000505050505050505,0.004646464646464647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,0.0,0.000505050505050505,0.004696969696969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,0.0,0.000505050505050505,0.004747474747474748,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,0.0,0.000505050505050505,0.004797979797979798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,0.0,0.000505050505050505,0.0048484848484848485,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,0.0,0.000505050505050505,0.004898989898989899,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,0.0,0.000505050505050505,0.004949494949494949,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,0.0,0.000505050505050505,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,0.0,0.00101010101010101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,0.0,0.00101010101010101,5.0505050505050505e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,0.0,0.00101010101010101,0.00010101010101010101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,0.0,0.00101010101010101,0.00015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,0.0,0.00101010101010101,0.00020202020202020202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,0.0,0.00101010101010101,0.0002525252525252525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,0.0,0.00101010101010101,0.00030303030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,0.0,0.00101010101010101,0.00035353535353535354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,0.0,0.00101010101010101,0.00040404040404040404,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,0.0,0.00101010101010101,0.00045454545454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,0.0,0.00101010101010101,0.000505050505050505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,0.0,0.00101010101010101,0.0005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,0.0,0.00101010101010101,0.0006060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,0.0,0.00101010101010101,0.0006565656565656566,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,0.0,0.00101010101010101,0.0007070707070707071,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,0.0,0.00101010101010101,0.0007575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,0.0,0.00101010101010101,0.0008080808080808081,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,0.0,0.00101010101010101,0.0008585858585858586,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,0.0,0.00101010101010101,0.0009090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,0.0,0.00101010101010101,0.0009595959595959596,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,0.0,0.00101010101010101,0.00101010101010101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,0.0,0.00101010101010101,0.0010606060606060605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,0.0,0.00101010101010101,0.0011111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,0.0,0.00101010101010101,0.0011616161616161617,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,0.0,0.00101010101010101,0.0012121212121212121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,0.0,0.00101010101010101,0.0012626262626262625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,0.0,0.00101010101010101,0.0013131313131313131,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,0.0,0.00101010101010101,0.0013636363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,0.0,0.00101010101010101,0.0014141414141414141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,0.0,0.00101010101010101,0.0014646464646464645,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,0.0,0.00101010101010101,0.0015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,0.0,0.00101010101010101,0.0015656565656565658,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,0.0,0.00101010101010101,0.0016161616161616162,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,0.0,0.00101010101010101,0.0016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,0.0,0.00101010101010101,0.0017171717171717172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,0.0,0.00101010101010101,0.0017676767676767678,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,0.0,0.00101010101010101,0.0018181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,0.0,0.00101010101010101,0.0018686868686868686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,0.0,0.00101010101010101,0.0019191919191919192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,0.0,0.00101010101010101,0.00196969696969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,0.0,0.00101010101010101,0.00202020202020202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,0.0,0.00101010101010101,0.0020707070707070706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,0.0,0.00101010101010101,0.002121212121212121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,0.0,0.00101010101010101,0.002171717171717172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
