,Meta,tau,a,Cdk1_Period,Cdk1_Amplitude
144,0.0,0.0,20.08713956697329,0.0,0.0
145,0.0,0.0,20.226633591743937,0.0,0.0
146,0.0,0.0,20.366127616514586,0.0,0.0
147,0.0,0.0,20.505621641285234,0.0,0.0
148,0.0,0.0,20.64511566605588,0.0,0.0
149,0.0,0.0,20.784609690826528,0.0,0.0
150,0.0,0.050505050505050504,0.0,0.0,0.0
151,0.0,0.050505050505050504,0.13949402477064785,0.0,0.0
152,0.0,0.050505050505050504,0.2789880495412957,0.0,0.0
153,0.0,0.050505050505050504,0.4184820743119435,0.0,0.0
154,0.0,0.050505050505050504,0.5579760990825914,0.0,0.0
155,0.0,0.050505050505050504,0.6974701238532393,0.0,0.0
156,0.0,0.050505050505050504,0.836964148623887,0.0,0.0
157,0.0,0.050505050505050504,0.9764581733945349,0.0,0.0
158,0.0,0.050505050505050504,1.1159521981651828,0.0,0.0
159,0.0,0.050505050505050504,1.2554462229358305,0.0,0.0
160,0.0,0.050505050505050504,1.3949402477064785,0.0,0.0
161,0.0,0.050505050505050504,1.5344342724771263,0.0,0.0
162,0.0,0.050505050505050504,1.673928297247774,0.0,0.0
163,0.0,0.050505050505050504,1.813422322018422,0.0,0.0
164,0.0,0.050505050505050504,1.9529163467890698,0.0,0.0
165,0.0,0.050505050505050504,2.0924103715597178,0.0,0.0
166,0.0,0.050505050505050504,2.2319043963303655,0.0,0.0
167,0.0,0.050505050505050504,2.3713984211010133,0.0,0.0
168,0.0,0.050505050505050504,2.510892445871661,0.0,0.0
169,0.0,0.050505050505050504,2.6503864706423093,0.0,0.0
170,0.0,0.050505050505050504,2.789880495412957,0.0,0.0
171,0.0,0.050505050505050504,2.929374520183605,0.0,0.0
172,0.0,0.050505050505050504,3.0688685449542525,0.0,0.0
173,0.0,0.050505050505050504,3.2083625697249003,0.0,0.0
174,0.0,0.050505050505050504,3.347856594495548,0.0,0.0
175,0.0,0.050505050505050504,3.4873506192661963,0.0,0.0
176,0.0,0.050505050505050504,3.626844644036844,0.0,0.0
177,0.0,0.050505050505050504,3.766338668807492,0.0,0.0
178,0.0,0.050505050505050504,3.9058326935781396,0.0,0.0
179,0.0,0.050505050505050504,4.045326718348788,0.0,0.0
180,0.0,0.050505050505050504,4.1848207431194355,0.0,0.0
181,0.0,0.050505050505050504,4.324314767890083,0.0,0.0
182,0.0,0.050505050505050504,4.463808792660731,0.0,0.0
183,0.0,0.050505050505050504,4.603302817431379,0.0,0.0
184,0.0,0.050505050505050504,4.742796842202027,0.0,0.0
185,0.0,0.050505050505050504,4.882290866972674,0.0,0.0
186,0.0,0.050505050505050504,5.021784891743322,0.0,0.0
187,0.0,0.050505050505050504,5.16127891651397,0.0,0.0
188,0.0,0.050505050505050504,5.3007729412846185,0.0,0.0
189,0.0,0.050505050505050504,5.440266966055266,0.0,0.0
190,0.0,0.050505050505050504,5.579760990825914,0.0,0.0
191,0.0,0.050505050505050504,5.719255015596562,0.0,0.0
192,0.0,0.050505050505050504,5.85874904036721,0.0,0.0
