,Meta,c,tau,Cdk1_Period,Cdk1_Amplitude
211,0.0,0.020168067226890754,0.33333333333333337,0.0,0.0
212,0.0,0.020168067226890754,0.36363636363636365,0.0,0.0
213,0.0,0.020168067226890754,0.3939393939393939,0.0,0.0
214,0.0,0.020168067226890754,0.42424242424242425,0.0,0.0
215,0.0,0.020168067226890754,0.4545454545454546,0.0,0.0
216,0.0,0.020168067226890754,0.48484848484848486,0.0,0.0
217,0.0,0.020168067226890754,0.5151515151515151,0.0,0.0
218,0.0,0.020168067226890754,0.5454545454545454,0.0,0.0
219,0.0,0.020168067226890754,0.5757575757575758,0.0,0.0
220,0.0,0.020168067226890754,0.6060606060606061,0.0,0.0
221,0.0,0.020168067226890754,0.6363636363636364,0.0,0.0
222,0.0,0.020168067226890754,0.6666666666666667,0.0,0.0
223,0.0,0.020168067226890754,0.696969696969697,0.0,0.0
224,0.0,0.020168067226890754,0.7272727272727273,0.0,0.0
225,0.0,0.020168067226890754,0.7575757575757576,0.0,0.0
226,0.0,0.020168067226890754,0.7878787878787878,0.0,0.0
227,0.0,0.020168067226890754,0.8181818181818182,0.0,0.0
228,0.0,0.020168067226890754,0.8484848484848485,0.0,0.0
229,0.0,0.020168067226890754,0.8787878787878788,0.0,0.0
230,0.0,0.020168067226890754,0.9090909090909092,0.0,0.0
231,0.0,0.020168067226890754,0.9393939393939394,0.0,0.0
232,0.0,0.020168067226890754,0.9696969696969697,0.0,0.0
233,0.0,0.020168067226890754,1.0,0.0,0.0
234,0.0,0.020168067226890754,1.0303030303030303,0.0,0.0
235,0.0,0.020168067226890754,1.0606060606060606,0.0,0.0
236,0.0,0.020168067226890754,1.0909090909090908,0.0,0.0
237,0.0,0.020168067226890754,1.1212121212121213,0.0,0.0
238,0.0,0.020168067226890754,1.1515151515151516,0.0,0.0
239,0.0,0.020168067226890754,1.1818181818181819,0.0,0.0
240,0.0,0.020168067226890754,1.2121212121212122,0.0,0.0
241,0.0,0.020168067226890754,1.2424242424242424,0.0,0.0
242,0.0,0.020168067226890754,1.2727272727272727,0.0,0.0
243,0.0,0.020168067226890754,1.303030303030303,0.0,0.0
244,0.0,0.020168067226890754,1.3333333333333335,0.0,0.0
245,0.0,0.020168067226890754,1.3636363636363638,0.0,0.0
246,0.0,0.020168067226890754,1.393939393939394,0.0,0.0
247,0.0,0.020168067226890754,1.4242424242424243,0.0,0.0
248,0.0,0.020168067226890754,1.4545454545454546,0.0,0.0
249,0.0,0.020168067226890754,1.4848484848484849,0.0,0.0
250,0.0,0.020168067226890754,1.5151515151515151,0.0,0.0
251,0.0,0.020168067226890754,1.5454545454545454,0.0,0.0
252,0.0,0.020168067226890754,1.5757575757575757,0.0,0.0
