,Meta,bsyn,bdeg,Apc_Period_Module,Apc_Amplitude_Module,Apc_Period_MA,Apc_Amplitude_MA
24,0.0,0.25,0.08478260869565217,0.0,0.0,0.0,0.0
25,0.0,0.25,0.08623188405797101,0.0,0.0,0.0,0.0
26,0.0,0.25,0.08768115942028985,0.0,0.0,0.0,0.0
27,0.0,0.25,0.0891304347826087,0.0,0.0,0.0,0.0
28,0.0,0.25,0.09057971014492754,0.0,0.0,0.0,0.0
29,0.0,0.25,0.09202898550724636,0.0,0.0,0.0,0.0
30,0.0,0.25,0.0934782608695652,0.0,0.0,0.0,0.0
31,0.0,0.25,0.09492753623188405,0.0,0.0,0.0,0.0
32,0.0,0.25,0.09637681159420289,0.0,0.0,0.0,0.0
33,0.0,0.25,0.09782608695652173,0.0,0.0,0.0,0.0
34,0.0,0.25,0.09927536231884057,0.0,0.0,0.0,0.0
35,0.0,0.25,0.10072463768115941,0.0,0.0,0.0,0.0
36,0.0,0.25,0.10217391304347825,0.0,0.0,0.0,0.0
37,0.0,0.25,0.1036231884057971,0.0,0.0,0.0,0.0
38,0.0,0.25,0.10507246376811594,0.0,0.0,0.0,0.0
39,0.0,0.25,0.10652173913043478,0.0,0.0,0.0,0.0
40,0.0,0.25,0.10797101449275362,0.0,0.0,0.0,0.0
41,0.0,0.25,0.10942028985507246,0.0,0.0,0.0,0.0
42,0.0,0.25,0.1108695652173913,0.0,0.0,0.0,0.0
43,0.0,0.25,0.11231884057971014,0.0,0.0,0.0,0.0
44,0.0,0.25,0.11376811594202899,0.0,0.0,0.0,0.0
45,0.0,0.25,0.11521739130434781,0.0,0.0,0.0,0.0
46,0.0,0.25,0.11666666666666665,0.0,0.0,0.0,0.0
47,0.0,0.25,0.1181159420289855,0.0,0.0,0.0,0.0
48,0.0,0.25,0.11956521739130434,0.0,0.0,0.0,0.0
49,0.0,0.25,0.12101449275362318,0.0,0.0,0.0,0.0
50,0.0,0.25,0.12246376811594202,0.0,0.0,0.0,0.0
51,0.0,0.25,0.12391304347826086,0.0,0.0,0.0,0.0
52,0.0,0.25,0.1253623188405797,0.0,0.0,0.0,0.0
53,0.0,0.25,0.12681159420289856,0.0,0.0,0.0,0.0
54,0.0,0.25,0.12826086956521737,0.0,0.0,0.0,0.0
55,0.0,0.25,0.12971014492753624,0.0,0.0,0.0,0.0
56,0.0,0.25,0.13115942028985506,0.0,0.0,0.0,0.0
57,0.0,0.25,0.13260869565217392,0.0,0.0,0.0,0.0
58,0.0,0.25,0.13405797101449274,0.0,0.0,0.0,0.0
59,0.0,0.25,0.13550724637681158,0.0,0.0,0.0,0.0
60,0.0,0.25,0.13695652173913042,0.0,0.0,0.0,0.0
61,0.0,0.25,0.13840579710144926,0.0,0.0,0.0,0.0
62,0.0,0.25,0.1398550724637681,0.0,0.0,0.0,0.0
63,0.0,0.25,0.14130434782608695,0.0,0.0,0.0,0.0
64,0.0,0.25,0.1427536231884058,0.0,0.0,0.0,0.0
65,0.0,0.25,0.14420289855072463,0.0,0.0,0.0,0.0
66,0.0,0.25,0.14565217391304347,0.0,0.0,0.0,0.0
67,0.0,0.25,0.1471014492753623,0.0,0.0,0.0,0.0
68,0.0,0.25,0.14855072463768115,0.0,0.0,0.0,0.0
69,0.0,0.25,0.15,0.0,0.0,0.0,0.0
70,0.0,0.2644927536231884,0.05,0.0,0.0,0.0,0.0
71,0.0,0.2644927536231884,0.051449275362318844,0.0,0.0,0.0,0.0
72,0.0,0.2644927536231884,0.052898550724637686,0.0,0.0,0.0,0.0
73,0.0,0.2644927536231884,0.05434782608695653,0.0,0.0,0.0,0.0
74,0.0,0.2644927536231884,0.05579710144927536,0.0,0.0,0.0,0.0
75,0.0,0.2644927536231884,0.0572463768115942,0.0,0.0,0.0,0.0
76,0.0,0.2644927536231884,0.058695652173913045,0.0,0.0,0.0,0.0
