,Meta,Omega,A_a,subcycles_osc,p/q,Locking
283,0.0,0.001956482223478072,2.6666666666666665,0.0,0.0,0.0
284,0.0,0.001956482223478072,2.888888888888889,0.0,0.0,0.0
285,0.0,0.001956482223478072,3.111111111111111,0.0,0.0,0.0
286,0.0,0.001956482223478072,3.333333333333333,0.0,0.0,0.0
287,0.0,0.001956482223478072,3.5555555555555554,0.0,0.0,0.0
288,0.0,0.001956482223478072,3.7777777777777777,0.0,0.0,0.0
289,0.0,0.001956482223478072,4.0,0.0,0.0,0.0
290,0.0,0.001978714976017595,2.0,0.0,0.0,0.0
291,0.0,0.001978714976017595,2.2222222222222223,0.0,0.0,0.0
292,0.0,0.001978714976017595,2.4444444444444446,3.0,2/1,2.0
293,0.0,0.001978714976017595,2.6666666666666665,0.0,0.0,0.0
294,0.0,0.001978714976017595,2.888888888888889,0.0,0.0,0.0
295,0.0,0.001978714976017595,3.111111111111111,0.0,0.0,0.0
296,0.0,0.001978714976017595,3.333333333333333,0.0,0.0,0.0
297,0.0,0.001978714976017595,3.5555555555555554,0.0,0.0,0.0
298,0.0,0.001978714976017595,3.7777777777777777,0.0,0.0,0.0
299,0.0,0.001978714976017595,4.0,0.0,0.0,0.0
300,0.0,0.002000947728557119,2.0,0.0,0.0,0.0
301,0.0,0.002000947728557119,2.2222222222222223,0.0,0.0,0.0
302,0.0,0.002000947728557119,2.4444444444444446,0.0,0.0,0.0
303,0.0,0.002000947728557119,2.6666666666666665,0.0,0.0,0.0
304,0.0,0.002000947728557119,2.888888888888889,0.0,0.0,0.0
305,0.0,0.002000947728557119,3.111111111111111,0.0,0.0,0.0
306,0.0,0.002000947728557119,3.333333333333333,0.0,0.0,0.0
307,0.0,0.002000947728557119,3.5555555555555554,0.0,0.0,0.0
308,0.0,0.002000947728557119,3.7777777777777777,0.0,0.0,0.0
309,0.0,0.002000947728557119,4.0,1.0,1/1,1.0
310,0.0,0.0020231804810966424,2.0,0.0,0.0,0.0
311,0.0,0.0020231804810966424,2.2222222222222223,0.0,0.0,0.0
312,0.0,0.0020231804810966424,2.4444444444444446,0.0,0.0,0.0
313,0.0,0.0020231804810966424,2.6666666666666665,0.0,0.0,0.0
314,0.0,0.0020231804810966424,2.888888888888889,0.0,0.0,0.0
315,0.0,0.0020231804810966424,3.111111111111111,0.0,0.0,0.0
316,0.0,0.0020231804810966424,3.333333333333333,0.0,0.0,0.0
317,0.0,0.0020231804810966424,3.5555555555555554,0.0,0.0,0.0
318,0.0,0.0020231804810966424,3.7777777777777777,0.0,0.0,0.0
319,0.0,0.0020231804810966424,4.0,2.0,2/1,2.0
320,0.0,0.0020454132336361662,2.0,0.0,0.0,0.0
321,0.0,0.0020454132336361662,2.2222222222222223,0.0,0.0,0.0
322,0.0,0.0020454132336361662,2.4444444444444446,0.0,0.0,0.0
323,0.0,0.0020454132336361662,2.6666666666666665,0.0,0.0,0.0
324,0.0,0.0020454132336361662,2.888888888888889,0.0,0.0,0.0
325,0.0,0.0020454132336361662,3.111111111111111,0.0,0.0,0.0
326,0.0,0.0020454132336361662,3.333333333333333,0.0,0.0,0.0
327,0.0,0.0020454132336361662,3.5555555555555554,0.0,0.0,0.0
328,0.0,0.0020454132336361662,3.7777777777777777,0.0,0.0,0.0
329,0.0,0.0020454132336361662,4.0,1.0,1/1,1.0
330,0.0,0.0020676459861756896,2.0,0.0,0.0,0.0
331,0.0,0.0020676459861756896,2.2222222222222223,0.0,0.0,0.0
332,0.0,0.0020676459861756896,2.4444444444444446,0.0,0.0,0.0
333,0.0,0.0020676459861756896,2.6666666666666665,0.0,0.0,0.0
334,0.0,0.0020676459861756896,2.888888888888889,0.0,0.0,0.0
335,0.0,0.0020676459861756896,3.111111111111111,0.0,0.0,0.0
336,0.0,0.0020676459861756896,3.333333333333333,0.0,0.0,0.0
337,0.0,0.0020676459861756896,3.5555555555555554,0.0,0.0,0.0
338,0.0,0.0020676459861756896,3.7777777777777777,2.0,2/1,2.0
339,0.0,0.0020676459861756896,4.0,1.0,1/1,1.0
340,0.0,0.002089878738715213,2.0,0.0,0.0,0.0
341,0.0,0.002089878738715213,2.2222222222222223,0.0,0.0,0.0
